Metric,Parameter,ST_Initial,ST_Final,Delta_ST
RVEDV,C.SVEN,0.316544240132066,0.458635692561892,0.142091452429826
RVEDV,R.SC,0.12304872689916,0.157578038273006,0.0345293113738459
RVEDV,R.SVEN,0.215163787782239,0.143539999975093,-0.0716237878071461
RVEDV,E.RV.EA,0.0986549644781203,0.109269152290617,0.0106141878124963
RVEDV,C.SAR,0.0170380381921589,0.0464842547608756,0.0294462165687167
RVEDV,C.PVEN,0.140261242364922,0.0415068790830351,-0.0987543632818869
RVEDV,E.RV.EB,0.0366150964434398,0.0354366308570836,-0.00117846558635617
RVEDV,C.PAR,0.00798206496502781,0.0112936379952783,0.00331157303025045
RVEDV,V0.RV,0.0230544565911375,0.0102792698404468,-0.0127751867506907
RVEDV,E.LV.EB,0.029366603032492,0.0098184258534276,-0.0195481771790644
RVEDV,E.LV.EA,0.0185680681104237,0.0077338267390149,-0.0108342413714088
RVEDV,E.RA.EA,0.00630994082489746,0.00603119431458928,-0.000278746510308173
RVEDV,vsd.Cd,0.00455144453482192,0.00408642848756596,-0.000465016047255959
RVEDV,R.PCOX,0.00994639625638948,0.00388977017432304,-0.00605662608206644
RVEDV,V0.LV,0.00624573469557384,0.00106925764130667,-0.00517647705426717
RVEDV,V0.LA,0.00313387268016868,0,-0.00313387268016868
RVEDV,R.SAR,0.00293696364888156,0,-0.00293696364888156
RVEDV,R.PAR,0.00248896591471969,0,-0.00248896591471969
RVEDV,E.LA.EA,0.00126665881157941,0,-0.00126665881157941
RVEDV,R.PVEN,1.31803654423394e-05,0,-1.31803654423394e-05
RVEDV,V0.RA,0,0,0
RVEF,E.RV.EA,0.612127114947575,0.640413408245058,0.0282862932974834
RVEF,R.PCOX,0.069591461571018,0.0934367222883127,0.0238452607172947
RVEF,V0.RV,0.125451784873771,0.0741376061478521,-0.0513141787259192
RVEF,E.LV.EB,0.0859020340795342,0.0603518567889621,-0.0255501772905722
RVEF,R.SC,0.0364329499186955,0.0421712276554216,0.0057382777367261
RVEF,C.SVEN,0.0161968995979692,0.0397617714566253,0.0235648718586561
RVEF,R.SVEN,0.025610586313244,0.0158851297011293,-0.0097254566121147
RVEF,E.LV.EA,0.0238194663241969,0.0148103509155374,-0.00900911540865952
RVEF,R.PVEN,0.00651308328375786,0.0114979333625013,0.00498485007874349
RVEF,C.PAR,0.0101763319036096,0.010611668086337,0.000435336182727453
RVEF,V0.RA,1.11959897711204e-05,0.00291731372733099,0.00290611773755987
RVEF,E.RV.EB,0.00160607956072604,0.00275301388705972,0.00114693432633367
RVEF,C.SAR,2.73618508276377e-05,0.00246578740537406,0.00243842555454643
RVEF,R.PAR,0,0.00198764491714201,0.00198764491714201
RVEF,E.LA.EA,0,0.00103234137392908,0.00103234137392908
RVEF,C.PVEN,0.00150866588430624,0.00093440167429862,-0.00057426421000762
RVEF,V0.LA,0,0.00072162624835295,0.00072162624835295
RVEF,V0.LV,0.00064510634389218,0.000217233485242023,-0.000427872858650157
